step,laneID,WaitingTime,CO2
30,8_1,0.0,0.0
30,-3_1,0.0,0.0
30,-2_1,0.0,0.0
30,-8_1,0.0,0.0
30,0_1,0.0,0.0
30,6_1,0.0,0.0
30,5_2,0.0,0.0
30,4_1,0.0,0.0
30,-2_0,0.0,0.0
30,-4_1,0.0,0.0
30,3_1,0.0,0.0
30,-8_2,12.0,17377.549347953005
30,1_2,0.0,0.0
30,-9_1,0.0,0.0
30,8_0,0.0,0.0
30,1_1,0.0,0.0
30,4_0,0.0,0.0
30,2_1,0.0,0.0
30,2_2,0.0,0.0
30,-4_0,0.0,0.0
30,5_0,0.0,0.0
30,-6_1,0.0,0.0
30,3_0,0.0,3068.587710459274
30,4_2,0.0,0.0
30,6_0,0.0,0.0
30,9_2,0.0,0.0
30,0_2,0.0,0.0
30,8_2,0.0,0.0
30,9_1,0.0,0.0
30,-0_1,0.0,0.0
30,1_0,0.0,0.0
30,-1_0,0.0,0.0
30,-9_0,0.0,1353.0330422888267
30,-0_2,0.0,0.0
30,-6_2,0.0,0.0
30,-9_2,0.0,0.0
30,9_0,0.0,0.0
30,5_1,0.0,0.0
30,7_0,0.0,0.0
30,-1_2,0.0,0.0
30,-0_0,0.0,0.0
30,-8_0,0.0,0.0
30,-6_0,6.0,2624.722222222222
30,6_2,0.0,0.0
30,7_1,0.0,0.0
30,-2_2,0.0,0.0
30,-5_2,1.0,2621.081785600967
30,-7_1,0.0,0.0
30,-3_2,0.0,0.0
30,-3_0,0.0,2624.722222222222
30,3_2,0.0,5418.802013445122
30,-5_0,0.0,0.0
30,-5_1,0.0,0.0
30,-1_1,0.0,0.0
30,-7_0,0.0,0.0
30,-7_2,0.0,0.0
30,2_0,0.0,0.0
30,0_0,0.0,2599.765434977415
30,-4_2,0.0,6995.8896828259085
30,7_2,0.0,0.0
60,8_1,0.0,0.0
60,-3_1,0.0,0.0
60,-2_1,0.0,0.0
60,-8_1,0.0,0.0
60,0_1,27.0,2624.722222222222
60,6_1,0.0,0.0
60,5_2,0.0,0.0
60,4_1,0.0,0.0
60,-2_0,18.0,2624.722222222222
60,-4_1,0.0,0.0
60,3_1,0.0,0.0
60,-8_2,87.0,17841.864689872167
60,1_2,0.0,0.0
60,-9_1,0.0,0.0
60,8_0,0.0,0.0
60,1_1,0.0,0.0
60,4_0,0.0,0.0
60,2_1,0.0,0.0
60,2_2,0.0,0.0
60,-4_0,0.0,2653.8365939235323
60,5_0,0.0,0.0
60,-6_1,0.0,0.0
60,3_0,13.0,7196.69210451877
60,4_2,0.0,0.0
60,6_0,0.0,0.0
60,9_2,0.0,0.0
60,0_2,0.0,0.0
60,8_2,0.0,0.0
60,9_1,0.0,0.0
60,-0_1,0.0,0.0
60,1_0,0.0,0.0
60,-1_0,0.0,0.0
60,-9_0,22.0,2624.722222222222
60,-0_2,0.0,0.0
60,-6_2,0.0,0.0
60,-9_2,0.0,0.0
60,9_0,0.0,0.0
60,5_1,0.0,0.0
60,7_0,0.0,0.0
60,-1_2,0.0,4248.864879593146
60,-0_0,0.0,0.0
60,-8_0,0.0,0.0
60,-6_0,36.0,2624.722222222222
60,6_2,0.0,0.0
60,7_1,0.0,0.0
60,-2_2,0.0,2587.6529479375895
60,-5_2,31.0,2624.722222222222
60,-7_1,0.0,0.0
60,-3_2,0.0,0.0
60,-3_0,13.0,2624.722222222222
60,3_2,23.0,2624.722222222222
60,-5_0,0.0,0.0
60,-5_1,0.0,0.0
60,-1_1,0.0,6447.288053987106
60,-7_0,0.0,0.0
60,-7_2,25.0,2624.722222222222
60,2_0,0.0,0.0
60,0_0,30.0,15993.165437315169
60,-4_2,18.0,2624.722222222222
60,7_2,0.0,0.0
90,8_1,0.0,0.0
90,-3_1,8.0,2624.722222222222
90,-2_1,0.0,0.0
90,-8_1,0.0,0.0
90,0_1,87.0,7874.166666666666
90,6_1,0.0,0.0
90,5_2,0.0,0.0
90,4_1,0.0,0.0
90,-2_0,48.0,2624.722222222222
90,-4_1,17.0,2624.722222222222
90,3_1,0.0,0.0
90,-8_2,226.0,13123.611111111111
90,1_2,0.0,0.0
